"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12822","Навигация к странице News со страницы Main","","Thu Jan 30 20:20:19 MSK 2025","passed","Thu Jan 30 20:20:32 MSK 2025","","ru.iteco.fmhandroid.ui.test.MainTest","ru.iteco.fmhandroid.ui.test.MainTest","shouldGoToNewsPageFromMainPage"
"","13733","Фильтрация всех новостей по диапазону дат","","Thu Jan 30 20:23:26 MSK 2025","passed","Thu Jan 30 20:23:40 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldFilterNewsByDateRange"
"","4776","Фильтрация новостей по диапазону дат","","Thu Jan 30 20:25:00 MSK 2025","passed","Thu Jan 30 20:25:05 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldFilterNewsWithinDateRange"
"","3575","Простая строка XSS инъекции в поле логин","","Thu Jan 30 20:16:04 MSK 2025","passed","Thu Jan 30 20:16:08 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","simpleXSSInjectionInLoginField"
"","13508","Ввод поочередно каждой категории при создании новости","","Thu Jan 30 20:17:02 MSK 2025","passed","Thu Jan 30 20:17:15 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","theFieldShouldAcceptAllNewsCategories"
"","13460","Навигация к странице Main с приветствующей страницы 'News'","","Thu Jan 30 20:24:33 MSK 2025","passed","Thu Jan 30 20:24:47 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldGoToMainPageFromNewsPage"
"","13834","Создание новости","","Thu Jan 30 20:17:44 MSK 2025","passed","Thu Jan 30 20:17:58 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","shouldCreateNews"
"","12498","Отображение заголовока 'Love is all' на странице с цитатами","","Thu Jan 30 20:25:18 MSK 2025","passed","Thu Jan 30 20:25:31 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayThePageTitle"
"","12716","Аккордеон списка новостей на основной странице Main","","Thu Jan 30 20:19:25 MSK 2025","passed","Thu Jan 30 20:19:37 MSK 2025","","ru.iteco.fmhandroid.ui.test.MainTest","ru.iteco.fmhandroid.ui.test.MainTest","checkMainNewsAccordion"
"","13105","Навигация к странице News со страницы c цитатами","","Thu Jan 30 20:25:05 MSK 2025","passed","Thu Jan 30 20:25:18 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldGoToNewsPageFromQuotePage"
"","14510","Ввод поочередно каждой категории при редактировании новости","","Thu Jan 30 20:18:27 MSK 2025","passed","Thu Jan 30 20:18:41 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","enterEachCategoryInTurn"
"","14836","Поиск через фильтр новости со статусом ACTIVE","","Thu Jan 30 20:22:39 MSK 2025","passed","Thu Jan 30 20:22:54 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldFilterNewsByStatusActive"
"","13967","Отмена публикации новости","","Thu Jan 30 20:17:58 MSK 2025","passed","Thu Jan 30 20:18:12 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","cancelNewsPublication"
"","13454","Проверить сортировку даты новостей","","Thu Jan 30 20:22:26 MSK 2025","passed","Thu Jan 30 20:22:39 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","verifyNewsDateSorting"
"","14407","Статус отредактированной новости должен быть ACTIVE","","Thu Jan 30 20:18:56 MSK 2025","passed","Thu Jan 30 20:19:10 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","editedNewsStatusShouldBeActive"
"","3582","Простая строка XSS инъекции в поле пароль","","Thu Jan 30 20:16:08 MSK 2025","passed","Thu Jan 30 20:16:11 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","simpleXSSInjectionInPasswordField"
"","13718","Не должен создавать новость с незаполненными полями","","Thu Jan 30 20:16:48 MSK 2025","passed","Thu Jan 30 20:17:02 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","shouldNotCreateNewsWithEmptyFields"
"","12690","Отображение описания развернутой цитаты 4","","Thu Jan 30 20:26:52 MSK 2025","passed","Thu Jan 30 20:27:04 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes4"
"","6259","Возвращение к редактированию новости","","Thu Jan 30 20:16:42 MSK 2025","passed","Thu Jan 30 20:16:48 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","shouldGoBackToEditingTheNews"
"","13488","Навигация к странице About с приветствующей страницы 'News'","","Thu Jan 30 20:24:06 MSK 2025","broken","Thu Jan 30 20:24:20 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldGoToAboutPageFromNewsPage"
"","12380","Отображение описания развернутой цитаты 3","","Thu Jan 30 20:26:39 MSK 2025","passed","Thu Jan 30 20:26:52 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldDisplayDescriptionOfQuotes3"
"","12721","Отображение лейбла компании","","Thu Jan 30 20:14:14 MSK 2025","passed","Thu Jan 30 20:14:27 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","shouldDisplayTheCompanyNameLabel"
"","13932","Фильтрация всех новостей по статусу 'ACTIVE'","","Thu Jan 30 20:22:54 MSK 2025","passed","Thu Jan 30 20:23:08 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","checkAllNewsAreActive"
"","13747","Навигация к  приветствующей странице News со страницы управления новостями","","Thu Jan 30 20:21:16 MSK 2025","passed","Thu Jan 30 20:21:30 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldGoToNewsPageFromNewsManagementPage"
"","12773","Отображение текста версии приложения","","Thu Jan 30 20:14:27 MSK 2025","passed","Thu Jan 30 20:14:40 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","displayTheApplicationVersionText"
"","3620","Авторизация с пустым полем Password","","Thu Jan 30 20:16:34 MSK 2025","passed","Thu Jan 30 20:16:38 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","authorizationWithEmptyPassword"
"","14343","Отмена удаления новости","","Thu Jan 30 20:19:10 MSK 2025","passed","Thu Jan 30 20:19:25 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","shouldCancelDeletionOfNews"
"","4913","Ввод поочередно каждой категории в фильтре новостей","","Thu Jan 30 20:23:22 MSK 2025","passed","Thu Jan 30 20:23:26 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","enterAllCategoriesInTheFilterOneByOne"
"","14026","Возвращение к созданию новости с сохранением данных","","Thu Jan 30 20:17:30 MSK 2025","passed","Thu Jan 30 20:17:44 MSK 2025","","ru.iteco.fmhandroid.ui.test.EditorialTest","ru.iteco.fmhandroid.ui.test.EditorialTest","shouldReturnToNewsCreation"
"","13916","Навигация к странице About со страницы управления новостями","","Thu Jan 30 20:21:57 MSK 2025","passed","Thu Jan 30 20:22:11 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsSearchTest","ru.iteco.fmhandroid.ui.test.NewsSearchTest","shouldGoToAboutPageFromNewsManagementPage"
"","12165","Простая строка SQL инъекции в поле логин","","Thu Jan 30 20:15:45 MSK 2025","passed","Thu Jan 30 20:15:57 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","simpleSqlInjectionInLoginField"
"","13187","Ввод поочередно каждой категории в фильтре новостей","","Thu Jan 30 20:23:53 MSK 2025","passed","Thu Jan 30 20:24:06 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","theFieldShouldAcceptAllNewsCategories"
"","3756","Простая строка SQL инъекции в поля логин и пароль одновременно","","Thu Jan 30 20:16:15 MSK 2025","passed","Thu Jan 30 20:16:19 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","simpleSqlInjectionInBothFields"
"","12578","Отображение заголовков цитат","","Thu Jan 30 20:25:44 MSK 2025","passed","Thu Jan 30 20:25:56 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","verifyQuoteTitle"
"","13170","Навигация к странице Main со страницы с цитатами","","Thu Jan 30 20:25:31 MSK 2025","passed","Thu Jan 30 20:25:44 MSK 2025","","ru.iteco.fmhandroid.ui.test.OurMissionTest","ru.iteco.fmhandroid.ui.test.OurMissionTest","shouldGoToMainPageFromQuotePage"
"","12864","Отображение метки условия эксплуатации","","Thu Jan 30 20:15:32 MSK 2025","passed","Thu Jan 30 20:15:45 MSK 2025","","ru.iteco.fmhandroid.ui.test.AboutTest","ru.iteco.fmhandroid.ui.test.AboutTest","shouldDisplayTermsOfUseLabel"
"","3538","Авторизация зарегистрированного пользователя","","Thu Jan 30 20:16:19 MSK 2025","passed","Thu Jan 30 20:16:22 MSK 2025","","ru.iteco.fmhandroid.ui.test.AuthorizationTest","ru.iteco.fmhandroid.ui.test.AuthorizationTest","registeredUserAuthorization"
"","13273","Выход из учетной записи с приветствующей страницы 'News'","","Thu Jan 30 20:24:47 MSK 2025","passed","Thu Jan 30 20:25:00 MSK 2025","","ru.iteco.fmhandroid.ui.test.NewsTest","ru.iteco.fmhandroid.ui.test.NewsTest","shouldLogOutOfAccountOnTheNewsPage"
"","12797","Навигация к странице About со страницы Main","","Thu Jan 30 20:19:37 MSK 2025","passed","Thu Jan 30 20:19:50 MSK 2025","","ru.iteco.fmhandroid.ui.test.MainTest","ru.iteco.fmhandroid.ui.test.MainTest","shouldGoToAboutPageFromMainPage"
